Sample	Variable	Value
AML001_CD34_24H:A05	PSME1	0.5774
AML001_CD34_24H:A05	ACTB	0.4219
TAK004_U2OS_96H:TRCN0000381509:1	PSME1	0.4213416
TAK004_U2OS_96H:TRCN0000381509:1	ACTB	-0.1684264
AML001_CD34_24H:BRD-A03772856:10	PSME1	0.36540002
AML001_CD34_24H:BRD-A03772856:10	ACTB	-0.4875
AML001_CD34_6H:A05	PSME1	-0.1224
AML001_CD34_6H:A05	ACTB	1.1224
CPC009_PC3_6H:BRD-A05565054-001-01-7:10	PSME1	-2.7532787
CPC009_PC3_6H:BRD-A05565054-001-01-7:10	ACTB	0.4717968
CPC009_PC3_6H:A17	PSME1	-0.0035670642
CPC009_PC3_6H:A17	ACTB	-0.6934756
